AA	5.57473108688986e-06	cattle
CBM	0.0978479290306778	cattle
CE	0.0514552710047497	cattle
GH	0.641525678535559	cattle
GT	0.197336994183794	cattle
PL	0.0118285525141324	cattle
AA	5.03481889263398e-06	cattle
CBM	0.100153214606547	cattle
CE	0.0645616765440634	cattle
GH	0.6290468493379	cattle
GT	0.193089489861744	cattle
PL	0.0131437348308525	cattle
AA	1.40690478374349e-05	cattle
CBM	0.0993066996746733	cattle
CE	0.0529762550442271	cattle
GH	0.644627204877097	cattle
GT	0.190612943266175	cattle
PL	0.0124628280899896	cattle
AA	9.06905389733127e-07	cattle
CBM	0.112279244450551	cattle
CE	0.0506988236347849	cattle
GH	0.608717180352676	cattle
GT	0.216656495316053	cattle
PL	0.0116473493405453	cattle
AA	7.32998132151025e-07	cattle
CBM	0.0841631335871579	cattle
CE	0.0662435716266429	cattle
GH	0.629710773381481	cattle
GT	0.207246730022711	cattle
PL	0.0126350583838754	cattle
CBM	0.122944045890598	cattle
CE	0.0500804036341154	cattle
GH	0.59114690718365	cattle
GT	0.220836822027554	cattle
PL	0.0149918212640824	cattle
AA	4.30408786839587e-06	cattle
CBM	0.100394333028016	cattle
CE	0.0558545226172618	cattle
GH	0.626266970068274	cattle
GT	0.205115657182976	cattle
PL	0.0123642130156029	cattle
AA	2.11065341269083e-05	cattle
CBM	0.11492582512801	cattle
CE	0.0450962857652687	cattle
GH	0.632581005827752	cattle
GT	0.192352007412327	cattle
PL	0.015023769332515	cattle
AA	5.13564243448145e-06	cattle
CBM	0.0983388389054945	cattle
CE	0.0568351229869067	cattle
GH	0.632099496091614	cattle
GT	0.196285193838287	cattle
PL	0.0164362125352628	cattle
AA	5.02189533679271e-08	cattle
CBM	0.112684226786862	cattle
CE	0.0577490857870591	cattle
GH	0.591211535937995	cattle
GT	0.217533298568129	cattle
PL	0.0208218027010011	cattle
AA	7.55000994864624e-07	cattle
CBM	0.0906917414254096	cattle
CE	0.0476205387223512	cattle
GH	0.618252076675018	cattle
GT	0.220147218623177	cattle
PL	0.0232876695530495	cattle
AA	3.82865177328382e-07	cattle
CBM	0.102367662171041	cattle
CE	0.0538746147108277	cattle
GH	0.617293412856123	cattle
GT	0.208752410420409	cattle
PL	0.0177115169764211	cattle
AA	5.07246650657132e-07	cattle
CBM	0.0935494753360613	cattle
CE	0.0558046786766054	cattle
GH	0.619290921740568	cattle
GT	0.214031420646956	cattle
PL	0.0173229963531586	cattle
AA	3.5863045312318e-06	cattle
CBM	0.0920626770863609	cattle
CE	0.0571734692307705	cattle
GH	0.634726344712578	cattle
GT	0.201387328436519	cattle
PL	0.0146465942292404	cattle
AA	1.21450503964031e-06	cattle
CBM	0.0825032034453463	cattle
CE	0.0701535388118949	cattle
GH	0.625677123747715	cattle
GT	0.202029239088959	cattle
PL	0.0196356804010453	cattle
AA	1.87131877474092e-06	cattle
CBM	0.107765658502187	cattle
CE	0.0557498860561612	cattle
GH	0.613353668364031	cattle
GT	0.209900544191922	cattle
PL	0.0132283715669234	cattle
AA	1.03050950132355e-06	cattle
CBM	0.102944483170033	cattle
CE	0.0530880353507974	cattle
GH	0.611118412009775	cattle
GT	0.216575844291126	cattle
PL	0.0162721946687672	cattle
AA	7.62985379743073e-08	cattle
CBM	0.0887805571989825	cattle
CE	0.053226244117227	cattle
GH	0.612835632936621	cattle
GT	0.222971770282649	cattle
PL	0.022185719165982	cattle
AA	3.40433581854814e-06	cattle
CBM	0.111169194097536	cattle
CE	0.0462956722358398	cattle
GH	0.581288059828278	cattle
GT	0.24311168415701	cattle
PL	0.0181319853455172	cattle
AA	9.42869639279609e-06	cattle
CBM	0.0920440913288651	cattle
CE	0.0592298592544767	cattle
GH	0.634298957670119	cattle
GT	0.19761384418326	cattle
PL	0.0168038188668866	cattle
AA	6.16944160399643e-06	cattle
CBM	0.0979462889366354	cattle
CE	0.0526644802118931	cattle
GH	0.635502029300781	cattle
GT	0.201328312330731	cattle
PL	0.012552719778356	cattle
AA	1.4071421804841e-05	cattle
CBM	0.0964233419715059	cattle
CE	0.0573916021634495	cattle
GH	0.634020187718017	cattle
GT	0.197729760349161	cattle
PL	0.0144210363760609	cattle
AA	8.58137499504581e-06	cattle
CBM	0.0909839871878333	cattle
CE	0.0483791508394254	cattle
GH	0.643146637809482	cattle
GT	0.204916886289092	cattle
PL	0.0125647564991728	cattle
AA	2.77512102303112e-06	cattle
CBM	0.0889745751736979	cattle
CE	0.0496292832776781	cattle
GH	0.639578913650592	cattle
GT	0.210505633285197	cattle
PL	0.0113088194918121	cattle
AA	5.29845242157637e-06	cattle
CBM	0.0931621660828681	cattle
CE	0.0512073320965043	cattle
GH	0.628080034154373	cattle
GT	0.219540494978093	cattle
PL	0.00800467423574041	cattle
AA	3.17215927151613e-06	cattle
CBM	0.0894169246263484	cattle
CE	0.0543856710012293	cattle
GH	0.643123746847238	cattle
GT	0.202852670332379	cattle
PL	0.0102178150335341	cattle
AA	1.46002912001996e-06	cattle
CBM	0.0929555852470054	cattle
CE	0.0454434206276991	cattle
GH	0.637772661456563	cattle
GT	0.211929876233932	cattle
PL	0.0118969964056798	cattle
AA	5.75375190534655e-07	cattle
CBM	0.0928364948074223	cattle
CE	0.0482877014287354	cattle
GH	0.628584429963616	cattle
GT	0.221026338211137	cattle
PL	0.00926446021389852	cattle
AA	2.59437291202439e-06	cattle
CBM	0.0926877045163789	cattle
CE	0.0492398416122665	cattle
GH	0.638398244387364	cattle
GT	0.208634598886004	cattle
PL	0.0110370162250745	cattle
AA	9.18772951357953e-07	cattle
